episode,reward,score,steps,epsilon,loss,avg_reward_100
270,10.400000000000002,2,11,0.462133,11.319501952691512,-5.3610000000000015
271,21.000000000000007,3,47,0.45748,9.485295389560942,-5.242000000000002
272,10.399999999999999,2,31,0.454411,19.082131035866276,-4.964000000000001
273,-7.700000000000001,1,34,0.45104500000000003,8.644436341874739,-4.766000000000002
274,-10.0,0,9,0.45015400000000005,10.626812908384535,-4.7410000000000005
275,-15.5,0,18,0.448372,11.652410474088457,-4.734
276,19.200000000000003,3,33,0.445105,15.468475038355047,-4.896
277,-9.6,0,7,0.4444119999999999,9.796706710542951,-4.598
278,-1.6999999999999993,1,20,0.44243199999999994,8.864615020155906,-4.638
279,-9.4,0,13,0.441145,12.86865810247568,-4.586
280,0.7999999999999989,1,15,0.43966000000000005,10.639550274610519,-4.553
281,0.29999999999999716,1,36,0.43609600000000004,13.606710327996147,-4.449000000000001
282,-4.3000000000000025,1,40,0.43213599999999996,11.518914318084716,-4.341
283,-2.9000000000000004,1,26,0.429562,12.410687187543282,-4.262
284,-12.6,0,17,0.427879,10.25321510258843,-4.141999999999999
285,0.20000000000000107,1,11,0.42679,13.897394895553589,-4.126999999999999
286,-2.700000000000001,1,36,0.423226,12.328948593801922,-3.9929999999999994
287,-4.7,1,24,0.42085000000000006,14.656354705492655,-4.018999999999999
288,10.399999999999999,2,25,0.41837499999999994,12.470174274444581,-3.9349999999999987
289,19.900000000000006,3,26,0.4158010000000001,14.815435372866117,-3.720999999999999
290,-16.200000000000003,0,41,0.41174200000000005,13.831936826066274,-3.614
291,0.3000000000000007,1,10,0.410752,12.322954481840133,-3.668999999999999
292,7.899999999999999,2,28,0.40798,12.93922016450337,-3.5619999999999994
293,10.399999999999999,2,39,0.404119,11.402855188418657,-3.450999999999999
294,-1.5,1,14,0.402733,7.541925353663308,-3.245
295,-10.9,1,30,0.3997630000000001,8.283582832415899,-3.2319999999999993
296,10.600000000000001,2,12,0.398575,16.787889420986176,-3.235999999999999
297,-1.6999999999999993,1,14,0.397189,9.96621013539178,-3.1139999999999985
298,-9.8,0,11,0.3961,9.907447836615823,-2.9949999999999983
299,1.7763568394002505e-15,1,7,0.39540699999999995,13.62105849811009,-2.9389999999999996
300,-13.6,0,23,0.39313,13.425341891205829,-2.7939999999999996
301,-9.6,0,15,0.3916449999999999,13.612256105740865,-2.7950000000000017
302,17.800000000000004,3,37,0.38798200000000005,15.69465553116154,-2.876000000000001
303,-16.0,1,45,0.38352699999999995,13.11251537270016,-2.5959999999999996
304,-9.5,0,10,0.382537,10.724406599998474,-2.6409999999999996
305,0.5999999999999996,1,13,0.38125,13.797540288705092,-2.7399999999999993
306,0.0,1,11,0.38016099999999997,4.834066791967913,-2.634999999999999
307,7.100000000000001,2,44,0.37580500000000006,16.93560574271462,-2.4699999999999993
308,-20.199999999999996,1,61,0.36976599999999993,14.478399622635763,-2.277999999999999
309,-5.200000000000005,1,29,0.3668950000000001,11.19196065952038,-2.480999999999999
310,0.20000000000000107,1,15,0.36541,15.470963788032531,-2.4359999999999986
311,-0.5999999999999996,1,11,0.364321,12.805546045303345,-2.431999999999999
312,0.40000000000000036,1,9,0.36343000000000003,11.78331078423394,-2.3009999999999993
313,11.0,2,19,0.361549,14.561744551909598,-2.2799999999999985
314,22.30000000000002,3,42,0.357391,10.820644563152676,-2.073999999999999
315,-0.7999999999999989,1,13,0.356104,15.492918638082651,-1.9109999999999987
316,12.200000000000003,3,45,0.351649,12.486268353462219,-1.8129999999999982
317,29.200000000000017,4,37,0.347986,11.146206817111453,-1.6439999999999981
318,39.800000000000026,5,39,0.344125,11.80124193124282,-1.2449999999999986
319,-0.5999999999999996,1,23,0.34184800000000004,17.84832934192989,-0.7759999999999981
320,0.5999999999999996,1,13,0.340561,21.28850553585933,-0.7749999999999981
321,20.699999999999996,3,29,0.33768999999999993,14.38590027957127,-0.6989999999999982
322,1.7763568394002505e-15,1,15,0.336205,14.956948486963908,-0.37199999999999867
323,0.09999999999999964,1,10,0.33521500000000004,16.460569381713867,-0.2749999999999991
324,20.60000000000001,3,17,0.33353199999999994,15.738735121839186,-0.2139999999999992
325,-1.4000000000000004,1,19,0.3316509999999999,14.119088047429136,-0.014999999999999005
326,0.8000000000000007,1,27,0.328978,14.681059563601458,0.06200000000000122
327,-0.9000000000000004,1,12,0.3277899999999999,22.270647317171097,0.1670000000000011
328,0.5,1,16,0.326206,12.381908923387527,0.16300000000000112
329,0.1999999999999993,1,7,0.32551299999999994,11.140989780426025,0.2630000000000014
330,0.5,1,32,0.322345,20.26214549317956,0.21100000000000105
331,0.8999999999999986,1,18,0.32056299999999993,17.404325955443912,0.36500000000000143
332,-0.40000000000000036,1,13,0.319276,16.50810365493481,0.41000000000000136
333,27.600000000000023,4,57,0.31363299999999994,16.88812227416457,0.30600000000000127
334,18.20000000000001,3,43,0.309376,16.97571157300195,0.6800000000000017
335,0.3000000000000007,1,6,0.308782,10.006758133570353,0.9090000000000018
336,-5.6,1,27,0.3061090000000001,17.352639427891486,1.0080000000000018
337,32.500000000000014,4,52,0.30096100000000003,15.184860406013636,1.0680000000000014
338,-9.5,0,12,0.29977299999999996,18.053878903388977,1.3930000000000016
339,-2.799999999999999,1,13,0.29848600000000003,12.86222822849567,1.2970000000000015
340,-0.09999999999999964,1,12,0.29729800000000006,15.407213151454926,1.2670000000000017
341,-1.3000000000000007,1,20,0.29531799999999997,29.218624466657637,1.2850000000000015
342,17.200000000000003,3,45,0.290863,17.298312417666118,1.2010000000000018
343,0.1999999999999993,1,5,0.29036799999999996,20.49387130737305,1.4780000000000013
344,-9.5,0,6,0.289774,7.777884682019551,1.4990000000000014
345,-3.5999999999999996,1,29,0.2869029999999999,21.333230959958044,1.4820000000000015
346,0.20000000000000107,1,23,0.28462599999999993,19.67715305349101,1.4480000000000015
347,-1.1000000000000032,1,20,0.28264599999999995,15.613579559326173,1.5590000000000013
348,-0.6999999999999993,1,28,0.27987399999999996,15.296012495245252,1.4530000000000018
349,41.80000000000001,6,66,0.27334,16.378345628579456,1.1460000000000017
350,-9.6,0,13,0.2720530000000001,18.57544666987199,1.5650000000000017
351,0.3000000000000007,1,6,0.271459,23.554235180219013,1.6170000000000015
352,43.90000000000002,5,66,0.26492499999999997,18.80259338834069,1.628000000000002
353,0.5999999999999996,1,17,0.2632420000000001,22.573646741754867,2.0550000000000015
354,10.100000000000009,2,54,0.257896,17.072909273483134,2.245000000000002
355,17.1,3,34,0.25453000000000003,18.680087089538574,2.5450000000000017
356,-9.3,0,12,0.25334200000000007,14.540486842393875,2.7170000000000014
357,0.9000000000000004,1,12,0.2521540000000001,23.045998861392338,2.779000000000002
358,21.000000000000007,3,35,0.24868899999999994,17.4265479190009,2.7830000000000017
359,10.400000000000002,2,12,0.24750099999999997,18.804105788469315,2.8840000000000017
360,-9.5,0,8,0.24670899999999996,9.639234572649002,2.913000000000001
361,0.5999999999999979,1,11,0.24561999999999995,20.428008090366017,2.5080000000000013
362,9.800000000000004,2,25,0.24314500000000006,20.75041660785675,2.5100000000000007
363,-9.2,0,13,0.24185800000000002,14.368245592484108,2.6050000000000004
364,10.000000000000004,2,55,0.23641299999999998,19.21449295390736,2.6270000000000016
365,61.80000000000004,7,59,0.230572,19.792670136791166,2.823000000000002
366,-12.6,0,23,0.22829500000000003,16.34309965631236,3.458000000000003
367,10.5,2,16,0.226711,18.555518701672554,3.3220000000000027
368,20.500000000000014,3,40,0.22275100000000003,21.701552093029022,3.4510000000000023
369,20.500000000000014,3,40,0.21879099999999996,16.75890246629715,3.7520000000000016
370,11.499999999999996,3,56,0.21324700000000008,17.87518943633352,3.989000000000002
371,-9.5,0,8,0.21245500000000006,7.715884521603584,4.000000000000003
372,21.80000000000002,3,31,0.20938600000000007,19.18310454968483,3.695000000000001
373,0.6999999999999993,1,14,0.20799999999999996,17.105024542127335,3.8090000000000015
374,28.00000000000003,4,53,0.20275299999999996,21.411363574693787,3.8930000000000007
375,0.20000000000000107,1,7,0.2020599999999999,26.346162591661727,4.2730000000000015
